Keyword Stats 2026-03-15 at 20_54_13
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
방향제	KRW	5000	0%	0%	High	100	525	2056																	
차량용 방향제	KRW	5000	0%	0%	High	86	585	1775																	
태양열 방향제	KRW	50	0%	0%	High	90																			
새차 냄새 제거	KRW	500	0%	0%	High	82	512	1486																	
주차 번호판	KRW	500	0%	0%	High	100	178	1326																	
차량 방향제	KRW	500	0%	0%	High	97	744	2067																	
조 말론 차량용 방향제	KRW	500	0%	0%	High	100	286	1180																	
자동차 방향제	KRW	500	0%	0%	High	83	608	1949																	
딥 디크 차량용 방향제	KRW	500	0%	0%	High	93	214	866																	
석고 방향제	KRW	500	0%	0%	High	83	325	1345																	
차 방향제	KRW	500	0%	0%	High	100	575	1702																	
옷장 방향제	KRW	500	0%	0%	High	100	348	1454																	
고급 차량용 방향제	KRW	50	900%	900%	High	100	552	1559																	
불독 방향제	KRW	500	0%	0%	High	85	280	1461																	
화장실 방향제	KRW	500	0%	0%	High	100	433	1600																	
조 말론 방향제	KRW	500	0%	0%	High	100	276	1117																	
마일 론 방향제	KRW	500	-90%	-90%	High	98	298	1140																	
라피네 르	KRW	500	0%	0%	Medium	66	297	1051																	
딥 디크 방향제	KRW	500	0%	0%	High	90	167	926																	
실내 방향제	KRW	500	0%	0%	High	71	534	1632																	
명품 차량용 방향제	KRW	500	0%	900%	High	100	462	1363																	
천연 방향제	KRW	500	0%	0%	High	91	597	1602																	
산도깨비 방향제	KRW	500	0%	0%	High	100	96	797																	
차량 디퓨저	KRW	500	0%	0%	High	100	678	1594																	
이솝 방향제	KRW	50	0%	0%	High	78	541	8444																	
조 말론 차량 방향제	KRW	50	0%	0%	High	100	315	876																	
양키 캔들 차량용 방향제	KRW	500	-90%	-90%	High	69	289	806																	
차량용 방향제 명품	KRW	50	0%	0%	High	100	371	1023																	
아쿠아 디 파르마 차량용 방향제	KRW	500	0%	0%	High	88	191	693																	
디 프로젝트 방향제	KRW	50	0%	0%	High	93	168	1042																	
사무실 방향제	KRW	50	0%	0%	High	100	353	1786																	
자동차 전화 번호 알림판	KRW	500	0%	0%	High	87	82	447																	
집 방향제	KRW	500	900%	0%	Medium	57	587	2452																	
고급 디퓨저	KRW	500	0%	0%	High	100	534	1538																	
불스 원 방향제	KRW	50	0%	0%	High	100	236	892																	
차량용 방향제 리필	KRW	50	0%	0%	High	93	141	1391																	
방향제 디퓨저	KRW	500	0%	0%	Medium	39	512	1052																	
자동차 디퓨저	KRW	500	0%	0%	Medium	54	655	1829																	
실내 디퓨저	KRW	500	0%	0%	Low	30	537	1880																	
리틀 트리 방향제	KRW	500	0%	0%	High	98	145	1146																	
자동 방향제	KRW	50	0%	-90%	High	100	428	2230																	
bmw 방향제	KRW	50	0%	0%	Medium	56																			
bmw 순정 방향제	KRW	50	0%	0%	High	84																			
eva 방향제	KRW	50	-100%	-100%	Unknown																				
g90 방향제	KRW	50	0%	0%	High	74																			
gv70 방향제	KRW	50	0%	0%	High	80																			
gv80 방향제	KRW	50	0%	0%	Low	27																			
led 방향제	KRW	50	0%	0%	High	68																			
led 주차 번호판	KRW	50	0%	0%	Low	14																			
roberta di camerino 방향제	KRW	50	0%	0%	High	100																			
가성 비 방향제	KRW	50	0%	0%	High	83	581	1002																	
가정용 방향제	KRW	50	0%	0%	High	100	400	1836																	
강아지 방향제	KRW	50	-90%	0%	High	94																			
개구리 알 방향제	KRW	50	0%	0%	Low	22																			
거실 방향제	KRW	50	0%	0%	High	83	421	1078																	
걸이 형 방향제	KRW	50	0%	0%	High	100																			
계피 방향제	KRW	50	0%	0%	Medium	45																			
고급 방향제	KRW	50	0%	0%	High	92	545	1375																	
고급 차량 방향제	KRW	50	0%	0%	Medium	47	609	2675																	
고양이 방향제	KRW	50	900%	900%	Medium	51																			
고체 디퓨저	KRW	500	900%	900%	High	100	554	1544																	
고체 방향제	KRW	500	0%	0%	High	100	519	2315																	
곰돌이 방향제	KRW	50	900%	900%	High	69																			
공기 방향제	KRW	50	0%	0%	High	100																			
과일 방향제	KRW	50	0%	0%	Low	21																			
교보 문고 방향제	KRW	500	0%	0%	High	72	101	925																	
교보 문고 차량용 방향제	KRW	500	0%	0%	High	91	118	991																	
구슬 방향제	KRW	50	0%	0%	Low	17																			
그라스 방향제	KRW	50	0%	0%	High	84																			
그랑 핸드 차량용 방향제	KRW	500	0%	900%	High	75																			
그레이드 방향제	KRW	50	0%	0%	Low	22																			
꽃 방향제	KRW	50	0%	0%	High	69																			
남자 방 방향제	KRW	50	0%	0%	Medium	59	765	1866																	
남자 방향제	KRW	50	0%	0%	High	74	564	1790																	
냉장고 방향제	KRW	50	0%	0%	High	78	312	1140																	
논슬립 주차 번호판	KRW	50	0%	0%	High	80	148	473																	
니키 방향제	KRW	50	0%	0%	Medium	67	141	899																	
다우니 방향제	KRW	50	0%	0%	High	98																			
다이 소 구슬 방향제	KRW	50	0%	0%	Low	1																			
다이 소 방향제	KRW	500	0%	0%	Medium	41	54	873																	
다이 소 석고 방향제	KRW	50	0%	0%	Low	16																			
다이 소 화장실 방향제	KRW	500	0%	0%	Medium	53																			
달달한 방향제	KRW	50	∞	0%	Medium	43																			
대용량 방향제	KRW	50	0%	0%	High	82																			
도 슈아 방향제	KRW	50	0%	0%	Medium	43																			
도그 독 방향제	KRW	50	0%	0%	High	100																			
도베르만 방향제	KRW	50	0%	0%	Medium	37																			
드라이 플라워 석고 방향제	KRW	50	0%	0%	Low	10																			
디 프로젝트 디불	KRW	50	0%	0%	Low	31																			
디 프로젝트 리필	KRW	50	0%	0%	High	76																			
디 프로젝트 방향제 리필	KRW	50	0%	0%	High	100																			
디불 방향제	KRW	50	0%	0%	Low	21																			
디즈니 방향제	KRW	50	0%	0%	High	100																			
디캣 방향제	KRW	50	0%	0%	High	77	246	1389																	
디캣 차량용 방향제	KRW	50	0%	0%	High	100																			
디퓨저 방향제	KRW	50	0%	0%	High	88	578	2002																	
디퓨저 자동차	KRW	50	0%	0%	Medium	66																			
딥 디크 석고 방향제	KRW	50	0%	0%	Low	0																			
딥 디크 자동차 방향제	KRW	50	0%	0%	High	100	198	1136																	
딥 디크 차량 방향제	KRW	50	0%	0%	High	73	162	1212																	
딥 디크 차량용 방향제 가격	KRW	50	0%	0%	High	97	144	805																	
딥 디크 차량용 방향제 리필	KRW	50	0%	0%	High	100	153	840																	
딥 디크 차량용 방향제 종류	KRW	50	0%	0%	High	77	271	757																	
딥 티크 방향제	KRW	50	900%	900%	Medium	62	312	1679																	
라벤더 방향제	KRW	50	0%	0%	High	98	140	1044																	
라이언 모니터 걸이 방향제	KRW	50	∞	0%	Medium	33																			
라이언 방향제	KRW	50	0%	0%	High	75																			
라이언 차량용 방향제	KRW	50	0%	0%	High	100																			
라피네 르 방향제	KRW	50	0%	0%	High	100																			
라피네 르 차량용 방향제	KRW	50	-100%	-100%	Unknown																				
레몬 껍질 방향제	KRW	50	0%	0%	Low	0																			
레몬 방향제	KRW	50	0%	0%	High	86																			
