Keyword Stats 2026-03-15 at 20_55_26
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
차량 용품 선물 추천	KRW	500	-90%	-90%	High	87	353	1403																	
차량용 방향제	KRW	5000	0%	0%	High	86	585	1775																	
차량 방향제	KRW	500	0%	0%	High	97	744	2067																	
조 말론 차량용 방향제	KRW	500	0%	0%	High	100	286	1180																	
자동차 방향제	KRW	500	0%	0%	High	83	608	1949																	
딥 디크 차량용 방향제	KRW	500	0%	0%	High	93	214	866																	
차 방향제	KRW	500	0%	0%	High	100	575	1702																	
고급 차량용 방향제	KRW	50	900%	900%	High	100	552	1559																	
불독 방향제	KRW	500	0%	0%	High	85	280	1461																	
조 말론 방향제	KRW	500	0%	0%	High	100	276	1117																	
딥 디크 방향제	KRW	500	0%	0%	High	90	167	926																	
명품 차량용 방향제	KRW	500	0%	900%	High	100	462	1363																	
조 말론 차량 방향제	KRW	50	0%	0%	High	100	315	876																	
양키 캔들 차량용 방향제	KRW	500	-90%	-90%	High	69	289	806																	
차량용 방향제 명품	KRW	50	0%	0%	High	100	371	1023																	
아쿠아 디 파르마 차량용 방향제	KRW	500	0%	0%	High	88	191	693																	
불스 원 방향제	KRW	50	0%	0%	High	100	236	892																	
차량용 방향제 리필	KRW	50	0%	0%	High	93	141	1391																	
리틀 트리 방향제	KRW	500	0%	0%	High	98	145	1146																	
bmw 방향제	KRW	50	0%	0%	Medium	56																			
g90 방향제	KRW	50	0%	0%	High	74																			
gv70 방향제	KRW	50	0%	0%	High	80																			
gv80 방향제	KRW	50	0%	0%	Low	27																			
고급 방향제	KRW	50	0%	0%	High	92	545	1375																	
고급 차량 방향제	KRW	50	0%	0%	Medium	47	609	2675																	
교보 문고 차량용 방향제	KRW	500	0%	0%	High	91	118	991																	
그랑 핸드 차량용 방향제	KRW	500	0%	900%	High	75																			
니키 방향제	KRW	50	0%	0%	Medium	67	141	899																	
다우니 방향제	KRW	50	0%	0%	High	98																			
도 슈아 방향제	KRW	50	0%	0%	Medium	43																			
도그 독 방향제	KRW	50	0%	0%	High	100																			
도베르만 방향제	KRW	50	0%	0%	Medium	37																			
디 프로젝트 디불	KRW	50	0%	0%	Low	31																			
디 프로젝트 리필	KRW	50	0%	0%	High	76																			
디 프로젝트 방향제 리필	KRW	50	0%	0%	High	100																			
디불 방향제	KRW	50	0%	0%	Low	21																			
디즈니 방향제	KRW	50	0%	0%	High	100																			
디캣 방향제	KRW	50	0%	0%	High	77	246	1389																	
디캣 차량용 방향제	KRW	50	0%	0%	High	100																			
딥 디크 석고 방향제	KRW	50	0%	0%	Low	0																			
딥 디크 자동차 방향제	KRW	50	0%	0%	High	100	198	1136																	
딥 디크 차량 방향제	KRW	50	0%	0%	High	73	162	1212																	
딥 디크 차량용 방향제 가격	KRW	50	0%	0%	High	97	144	805																	
딥 디크 차량용 방향제 리필	KRW	50	0%	0%	High	100	153	840																	
딥 디크 차량용 방향제 종류	KRW	50	0%	0%	High	77	271	757																	
딥 티크 방향제	KRW	50	900%	900%	Medium	62	312	1679																	
라이언 방향제	KRW	50	0%	0%	High	75																			
라이언 차량용 방향제	KRW	50	0%	0%	High	100																			
라피네 르 방향제	KRW	50	0%	0%	High	100																			
라피네 르 차량용 방향제	KRW	50	-100%	-100%	Unknown																				
