Keyword Stats 2026-03-15 at 21_08_07
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
방향제	KRW	5000	0%	0%	High	100	525	2056																	
차량 용품	KRW	500	-90%	0%	High	86	307	1301																	
주차 번호판	KRW	500	0%	0%	High	100	178	1326																	
자동차 액세서리	KRW	50	0%	0%	High	76	121	1004																	
대시 보드	KRW	5000	0%	0%	Low	3	795	4188																	
차량 인테리어	KRW	50	0%	0%	Medium	52	61	847																	
새차	KRW	500	0%	0%	Low	6	569	1779																	
자동차 선물	KRW	50	0%	900%	High	72																			
차량 관리	KRW	500	0%	0%	Low	6	849	5483																	
자동차 꾸미기	KRW	500	0%	0%	Medium	46	427	1432																	
차량용 방향제	KRW	5000	0%	0%	High	86	585	1775																	
차량 방향제	KRW	500	0%	0%	High	97	744	2067																	
자동차 용품	KRW	5000	-90%	-90%	High	85	229	1170																	
조 말론 차량용 방향제	KRW	500	0%	0%	High	100	286	1180																	
자동차 방향제	KRW	500	0%	0%	High	83	608	1949																	
딥 디크 차량용 방향제	KRW	500	0%	0%	High	93	214	866																	
마케팅 대시 보드	KRW	500	0%	0%	Medium	41	1368	3099																	
석고 방향제	KRW	500	0%	0%	High	83	325	1345																	
페이 히어 대시 보드	KRW	500	0%	0%	Low	0																			
차 방향제	KRW	500	0%	0%	High	100	575	1702																	
옷장 방향제	KRW	500	0%	0%	High	100	348	1454																	
고급 차량용 방향제	KRW	50	900%	900%	High	100	552	1559																	
불독 방향제	KRW	500	0%	0%	High	85	280	1461																	
화장실 방향제	KRW	500	0%	0%	High	100	433	1600																	
hr 대시 보드	KRW	500	900%	900%	Medium	41	1623	3802																	
kpi 대시 보드	KRW	500	0%	0%	Low	15	1189	2757																	
조 말론 방향제	KRW	500	0%	0%	High	100	276	1117																	
마일 론 방향제	KRW	500	-90%	-90%	High	98	298	1140																	
crm 대시 보드	KRW	50	0%	0%	Medium	38	1852	2767																	
차 선물 세트	KRW	500	0%	0%	High	100	497	2157																	
라피네 르	KRW	500	0%	0%	Medium	66	297	1051																	
딥 디크 방향제	KRW	500	0%	0%	High	90	167	926																	
power bi 대시 보드	KRW	500	-90%	-90%	Low	2																			
실내 방향제	KRW	500	0%	0%	High	71	534	1632																	
명품 차량용 방향제	KRW	500	0%	900%	High	100	462	1363																	
데이터 대시 보드	KRW	500	-90%	-90%	Low	7	852	2174																	
프로젝트 대시 보드	KRW	50	0%	0%	Low	26	1489	4158																	
데이터 시각화 대시 보드	KRW	500	900%	0%	Low	7	884	2009																	
천연 방향제	KRW	500	0%	0%	High	91	597	1602																	
산도깨비 방향제	KRW	500	0%	0%	High	100	96	797																	
영업 대시 보드	KRW	50	0%	0%	Low	21	897	3731																	
차량 디퓨저	KRW	500	0%	0%	High	100	678	1594																	
웹 대시 보드	KRW	500	0%	-90%	Low	10	649	1679																	
이솝 방향제	KRW	50	0%	0%	High	78	541	8444																	
조 말론 차량 방향제	KRW	50	0%	0%	High	100	315	876																	
양키 캔들 차량용 방향제	KRW	500	-90%	-90%	High	69	289	806																	
차량용 방향제 명품	KRW	50	0%	0%	High	100	371	1023																	
자동차 용품 b2b	KRW	50	0%	0%	Low	28	1086	2837																	
프로젝트 관리 대시 보드	KRW	50	0%	0%	Low	23	1670	4561																	
아쿠아 디 파르마 차량용 방향제	KRW	500	0%	0%	High	88	191	693																	
구글 데이터 스튜디오 대시 보드	KRW	50	0%	0%	Low	4																			
매출 대시 보드	KRW	500	0%	0%	Low	11	1017	2773																	
시각화 대시 보드	KRW	50	0%	0%	Low	6	664	1824																	
디 프로젝트 방향제	KRW	50	0%	0%	High	93	168	1042																	
차 선물	KRW	500	0%	0%	High	96	568	2343																	
사무실 방향제	KRW	50	0%	0%	High	100	353	1786																	
