Keyword Stats 2026-03-15 at 21_06_30
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
남편 선물	KRW	50	-90%	0%	Medium	62	715	2019																	
실용적인 선물	KRW	500	0%	0%	Medium	48	443	1398																	
생활 용품 추천	KRW	50	0%	0%	High	78																			
살림 템	KRW	50	0%	0%	Low	12																			
차 냄새	KRW	50	0%	0%	Low	27																			
집안 향기	KRW	50	0%	0%	High	97	526	2500																	
디퓨저	KRW	50000	-90%	0%	High	88	595	1920																	
방향제 추천	KRW	500	0%	0%	High	100	576	1551																	
인테리어 소품	KRW	5000	0%	0%	High	95	392	1658																	
가성 비 선물	KRW	50	0%	0%	Low	4																			
조 말론 차량용 방향제	KRW	500	0%	0%	High	100	286	1180																	
차량용 방향제 추천	KRW	500	0%	0%	High	100	517	1605																	
차량용 방향제 순위	KRW	500	0%	0%	High	100	448	1089																	
교보 문고 디퓨저	KRW	5000	0%	0%	High	80	130	1038																	
차량용 디퓨저	KRW	5000	900%	900%	Medium	53	614	1435																	
차량 방향제 추천	KRW	500	0%	0%	High	100	533	1611																	
이솝 디퓨저	KRW	500	0%	0%	High	71	545	5088																	
고급 차량용 방향제	KRW	50	900%	900%	High	100	552	1559																	
자동차 방향제 추천	KRW	500	0%	0%	High	100	563	1254																	
조 말론 방향제	KRW	500	0%	0%	High	100	276	1117																	
인테리어 소품 샵	KRW	500	0%	0%	High	100	375	1619																	
딥 디크 디퓨저	KRW	500	0%	0%	High	88	329	1049																	
호텔 디퓨저	KRW	500	0%	0%	High	83	525	2322																	
